SURFACE  (  208 POINTS)

                      
 ------------------------------------------------------------------------------------------------------------------------
      R1        R2      R3      ANGLE1    ANGLE2    ANGLE3        INPUT            FIT            DIFFERENCE
    1.90000   1.90000   3.20000 150.00000 100.00000   0.00000   -344.91039791   -344.91043241   0.3449596E-04
    1.70000   1.90000   3.20000 125.00000 150.00000   0.00000   -344.88559696   -344.88560677   0.9813481E-05
    1.90000   1.70000   3.20000 125.00000 150.00000   0.00000   -344.88658535   -344.88659622   0.1087456E-04
    1.90000   1.90000   3.00000 125.00000 150.00000   0.00000   -344.89335738   -344.89337649   0.1911114E-04
    1.90000   1.90000   3.20000 100.00000 150.00000   0.00000   -344.91039791   -344.91043241   0.3449596E-04
    1.90000   1.90000   3.20000 125.00000  75.00000   0.00000   -344.85988714   -344.85978906  -0.9807504E-04
    2.10000   1.90000   3.20000 125.00000 125.00000 -10.00000   -344.91511377   -344.91511853   0.4762869E-05
    1.70000   1.70000   3.20000 125.00000 125.00000 -10.00000   -344.89606430   -344.89605678  -0.7523364E-05
    1.90000   2.10000   3.20000 125.00000 125.00000 -10.00000   -344.91511377   -344.91511853   0.4762869E-05
    1.70000   1.90000   3.00000 125.00000 125.00000 -10.00000   -344.89950868   -344.89950651  -0.2174915E-05
    1.90000   1.70000   3.00000 125.00000 125.00000 -10.00000   -344.89950868   -344.89950651  -0.2174917E-05
    1.90000   1.90000   3.40000 125.00000 125.00000 -10.00000   -344.91808588   -344.91810127   0.1538979E-04
    1.70000   1.90000   3.20000 100.00000 125.00000 -10.00000   -344.89393812   -344.89393192  -0.6203311E-05
    1.90000   1.70000   3.20000 100.00000 125.00000 -10.00000   -344.89488521   -344.89487937  -0.5835433E-05
    1.90000   1.90000   3.00000 100.00000 125.00000 -10.00000   -344.89482448   -344.89481386  -0.1062464E-04
    1.90000   1.90000   3.20000 150.00000 125.00000 -10.00000   -344.90053753   -344.90053532  -0.2212061E-05
    1.70000   1.90000   3.20000 125.00000 100.00000 -10.00000   -344.89488521   -344.89487937  -0.5835434E-05
    1.90000   1.70000   3.20000 125.00000 100.00000 -10.00000   -344.89393812   -344.89393192  -0.6203308E-05
    1.90000   1.90000   3.00000 125.00000 100.00000 -10.00000   -344.89482448   -344.89481386  -0.1062464E-04
    1.90000   1.90000   3.20000 100.00000 100.00000 -10.00000   -344.87780634   -344.87779349  -0.1284921E-04
    1.90000   1.90000   3.20000 125.00000 150.00000 -10.00000   -344.90053753   -344.90053532  -0.2212063E-05
    1.70000   1.90000   3.20000 125.00000 125.00000  10.00000   -344.90889566   -344.90888743  -0.8225745E-05
    1.90000   1.70000   3.20000 125.00000 125.00000  10.00000   -344.90889566   -344.90888743  -0.8225748E-05
    1.90000   1.90000   3.00000 125.00000 125.00000  10.00000   -344.91248889   -344.91250380   0.1491114E-04
    1.90000   1.90000   3.20000 100.00000 125.00000  10.00000   -344.90636137   -344.90636586   0.4485422E-05
    1.90000   1.90000   3.20000 125.00000 100.00000  10.00000   -344.90636137   -344.90636586   0.4485419E-05
    1.90000   1.90000   3.20000 125.00000 125.00000 -20.00000   -344.92096034   -344.92101011   0.4976679E-04
    2.30000   1.90000   3.20000 125.00000 125.00000   0.00000   -344.89923143   -344.89924814   0.1670950E-04
    1.50000   1.70000   3.20000 125.00000 125.00000   0.00000   -344.84591481   -344.84591059  -0.4221005E-05
    2.10000   2.10000   3.20000 125.00000 125.00000   0.00000   -344.90859946   -344.90858320  -0.1626032E-04
    1.70000   1.50000   3.20000 125.00000 125.00000   0.00000   -344.84591481   -344.84591059  -0.4221004E-05
    1.90000   2.30000   3.20000 125.00000 125.00000   0.00000   -344.89923143   -344.89924814   0.1670950E-04
    1.50000   1.90000   3.00000 125.00000 125.00000   0.00000   -344.84923055   -344.84922873  -0.1822166E-05
    2.10000   1.70000   3.00000 125.00000 125.00000   0.00000   -344.89349222   -344.89349047  -0.1753552E-05
    1.70000   2.10000   3.00000 125.00000 125.00000   0.00000   -344.89349222   -344.89349047  -0.1753553E-05
    1.90000   1.50000   3.00000 125.00000 125.00000   0.00000   -344.84923055   -344.84922873  -0.1822166E-05
    2.10000   1.90000   3.40000 125.00000 125.00000   0.00000   -344.91143685   -344.91142066  -0.1619172E-04
    1.70000   1.70000   3.40000 125.00000 125.00000   0.00000   -344.89294650   -344.89295009   0.3591073E-05
    1.90000   2.10000   3.40000 125.00000 125.00000   0.00000   -344.91143685   -344.91142066  -0.1619172E-04
    1.70000   1.90000   2.80000 125.00000 125.00000   0.00000   -344.86859555   -344.86859583   0.2846616E-06
    1.90000   1.70000   2.80000 125.00000 125.00000   0.00000   -344.86859555   -344.86859583   0.2846621E-06
    1.90000   1.90000   3.60000 125.00000 125.00000   0.00000   -344.90726008   -344.90726507   0.4994000E-05
    1.50000   1.90000   3.20000 100.00000 125.00000   0.00000   -344.84350681   -344.84349941  -0.7397909E-05
    2.10000   1.70000   3.20000 100.00000 125.00000   0.00000   -344.88709552   -344.88710715   0.1162591E-04
    1.70000   2.10000   3.20000 100.00000 125.00000   0.00000   -344.88515485   -344.88516939   0.1453802E-04
    1.90000   1.50000   3.20000 100.00000 125.00000   0.00000   -344.84519831   -344.84519295  -0.5364794E-05
    2.10000   1.90000   3.00000 100.00000 125.00000   0.00000   -344.88785064   -344.88785919   0.8548869E-05
    1.70000   1.70000   3.00000 100.00000 125.00000   0.00000   -344.87050324   -344.87050776   0.4521161E-05
    1.90000   2.10000   3.00000 100.00000 125.00000   0.00000   -344.88675539   -344.88675591   0.5223314E-06
    1.70000   1.90000   3.40000 100.00000 125.00000   0.00000   -344.89222112   -344.89222279   0.1670097E-05
    1.90000   1.70000   3.40000 100.00000 125.00000   0.00000   -344.89298704   -344.89298964   0.2602350E-05
    1.90000   1.90000   2.80000 100.00000 125.00000   0.00000   -344.86086028   -344.86085702  -0.3257401E-05
    2.10000   1.90000   3.20000 150.00000 125.00000   0.00000   -344.89639738   -344.89639669  -0.6947182E-06
    1.70000   1.70000   3.20000 150.00000 125.00000   0.00000   -344.87044175   -344.87045695   0.1519511E-04
    1.90000   2.10000   3.20000 150.00000 125.00000   0.00000   -344.89750977   -344.89750849  -0.1283504E-05
    1.70000   1.90000   3.00000 150.00000 125.00000   0.00000   -344.87885331   -344.87885566   0.2351528E-05
    1.90000   1.70000   3.00000 150.00000 125.00000   0.00000   -344.87771145   -344.87771390   0.2453463E-05
    1.90000   1.90000   3.40000 150.00000 125.00000   0.00000   -344.89647484   -344.89647248  -0.2364619E-05
    1.70000   1.90000   3.20000  75.00000 125.00000   0.00000   -344.84520152   -344.84520117  -0.3512467E-06
