SURFACE  (  418 POINTS)

                      
 ------------------------------------------------------------------------------------------------------------------------
      R1        R2      R3      ANGLE1    ANGLE2    ANGLE3        INPUT            FIT            DIFFERENCE
    2.80000   2.80000   2.90000 100.00000 100.00000   0.00000   -344.80426300   -344.80428143   0.1842556E-04
    2.80000   2.80000   3.10000 150.00000 100.00000   0.00000   -344.83555400   -344.83559354   0.3953868E-04
    2.60000   2.80000   3.10000 125.00000 150.00000   0.00000   -344.82045710   -344.82046372   0.6617502E-05
    2.80000   2.60000   3.10000 125.00000 150.00000   0.00000   -344.82045770   -344.82046324   0.5537056E-05
    2.80000   2.80000   2.90000 125.00000 150.00000   0.00000   -344.81615020   -344.81614342  -0.6784461E-05
    2.80000   2.80000   3.10000 100.00000 150.00000   0.00000   -344.83555400   -344.83559356   0.3955962E-04
    2.80000   2.80000   3.10000 125.00000  75.00000   0.00000   -344.80380210   -344.80376598  -0.3612399E-04
    3.00000   2.80000   3.10000 125.00000 125.00000 -10.00000   -344.84326450   -344.84327077   0.6272219E-05
    2.60000   2.60000   3.10000 125.00000 125.00000 -10.00000   -344.83866720   -344.83865817  -0.9029973E-05
    2.80000   3.00000   3.10000 125.00000 125.00000 -10.00000   -344.84326450   -344.84327076   0.6264170E-05
    2.60000   2.80000   2.90000 125.00000 125.00000 -10.00000   -344.83264220   -344.83263264  -0.9562168E-05
    2.80000   2.60000   2.90000 125.00000 125.00000 -10.00000   -344.83264220   -344.83263265  -0.9554639E-05
    2.80000   2.80000   3.30000 125.00000 125.00000 -10.00000   -344.84117860   -344.84119024   0.1163862E-04
    2.60000   2.80000   3.10000 100.00000 125.00000 -10.00000   -344.83367970   -344.83367935  -0.3548297E-06
    2.80000   2.60000   3.10000 100.00000 125.00000 -10.00000   -344.83403230   -344.83402963  -0.2669746E-05
    2.80000   2.80000   2.90000 100.00000 125.00000 -10.00000   -344.82708800   -344.82709442   0.6419435E-05
    2.80000   2.80000   3.10000 150.00000 125.00000 -10.00000   -344.82492080   -344.82492454   0.3737321E-05
    2.60000   2.80000   3.10000 125.00000 100.00000 -10.00000   -344.83403230   -344.83402964  -0.2661575E-05
    2.80000   2.60000   3.10000 125.00000 100.00000 -10.00000   -344.83367970   -344.83367935  -0.3489116E-06
    2.80000   2.80000   2.90000 125.00000 100.00000 -10.00000   -344.82708800   -344.82709443   0.6431040E-05
