SURFACE  (  208 POINTS)

                      
 ------------------------------------------------------------------------------------------------------------------------
      R1        R2      R3      ANGLE1    ANGLE2    ANGLE3        INPUT            FIT            DIFFERENCE
    2.80000   2.80000   2.90000 100.00000 100.00000   0.00000   -344.79804740   -344.79805181   0.4408348E-05
    2.80000   2.80000   3.10000 150.00000 100.00000   0.00000   -344.82948904   -344.82952896   0.3991809E-04
    2.60000   2.80000   3.10000 125.00000 150.00000   0.00000   -344.81435133   -344.81435424   0.2908263E-05
    2.80000   2.60000   3.10000 125.00000 150.00000   0.00000   -344.81435934   -344.81436349   0.4148285E-05
    2.80000   2.80000   2.90000 125.00000 150.00000   0.00000   -344.80987675   -344.80987471  -0.2037957E-05
    2.80000   2.80000   3.10000 100.00000 150.00000   0.00000   -344.82948904   -344.82952896   0.3991574E-04
    2.80000   2.80000   3.10000 125.00000  75.00000   0.00000   -344.79773977   -344.79770406  -0.3571190E-04
    3.00000   2.80000   3.10000 125.00000 125.00000 -10.00000   -344.83720540   -344.83720873   0.3327280E-05
    2.60000   2.60000   3.10000 125.00000 125.00000 -10.00000   -344.83256848   -344.83256787  -0.6137354E-06
    2.80000   3.00000   3.10000 125.00000 125.00000 -10.00000   -344.83720540   -344.83720873   0.3326418E-05
    2.60000   2.80000   2.90000 125.00000 125.00000 -10.00000   -344.82636229   -344.82636277   0.4759190E-06
    2.80000   2.60000   2.90000 125.00000 125.00000 -10.00000   -344.82636229   -344.82636277   0.4792873E-06
    2.80000   2.80000   3.30000 125.00000 125.00000 -10.00000   -344.83523150   -344.83523485   0.3353574E-05
    2.60000   2.80000   3.10000 100.00000 125.00000 -10.00000   -344.82761932   -344.82762048   0.1164192E-05
    2.80000   2.60000   3.10000 100.00000 125.00000 -10.00000   -344.82797898   -344.82798045   0.1470637E-05
    2.80000   2.80000   2.90000 100.00000 125.00000 -10.00000   -344.82083893   -344.82083774  -0.1188939E-05
    2.80000   2.80000   3.10000 150.00000 125.00000 -10.00000   -344.81883701   -344.81884162   0.4609977E-05
    2.60000   2.80000   3.10000 125.00000 100.00000 -10.00000   -344.82797898   -344.82798045   0.1469590E-05
    2.80000   2.60000   3.10000 125.00000 100.00000 -10.00000   -344.82761932   -344.82762049   0.1167574E-05
    2.80000   2.80000   2.90000 125.00000 100.00000 -10.00000   -344.82083892   -344.82083773  -0.1185080E-05
    2.80000   2.80000   3.10000 100.00000 100.00000 -10.00000   -344.81075764   -344.81073789  -0.1974604E-04
    2.80000   2.80000   3.10000 125.00000 150.00000 -10.00000   -344.81883701   -344.81884162   0.4611217E-05
    2.60000   2.80000   3.10000 125.00000 125.00000  10.00000   -344.83666745   -344.83666808   0.6290448E-06
    2.80000   2.60000   3.10000 125.00000 125.00000  10.00000   -344.83666745   -344.83666809   0.6430676E-06
    2.80000   2.80000   2.90000 125.00000 125.00000  10.00000   -344.83054364   -344.83054553   0.1894437E-05
    2.80000   2.80000   3.10000 100.00000 125.00000  10.00000   -344.83173994   -344.83173708  -0.2862997E-05
    2.80000   2.80000   3.10000 125.00000 100.00000  10.00000   -344.83173994   -344.83173708  -0.2862501E-05
    2.80000   2.80000   3.10000 125.00000 125.00000 -20.00000   -344.83927106   -344.83928371   0.1264838E-04
    3.20000   2.80000   3.10000 125.00000 125.00000   0.00000   -344.82954612   -344.82954612   0.5684342E-13
    2.40000   2.60000   3.10000 125.00000 125.00000   0.00000   -344.81700949   -344.81700949   0.5684342E-13
    3.00000   3.00000   3.10000 125.00000 125.00000   0.00000   -344.83409740   -344.83409740  -0.5684342E-13
