SURFACE  (  418 POINTS)

                      
 ------------------------------------------------------------------------------------------------------------------------
      R1        R2      R3      ANGLE1    ANGLE2    ANGLE3        INPUT            FIT            DIFFERENCE
    2.80000   2.80000   2.90000 100.00000 100.00000   0.00000   -344.79854280   -344.79856112   0.1831756E-04
    2.80000   2.80000   3.10000 150.00000 100.00000   0.00000   -344.82976230   -344.82980173   0.3943114E-04
    2.60000   2.80000   3.10000 125.00000 150.00000   0.00000   -344.81464920   -344.81465564   0.6439123E-05
    2.80000   2.60000   3.10000 125.00000 150.00000   0.00000   -344.81465340   -344.81465879   0.5394831E-05
    2.80000   2.80000   2.90000 125.00000 150.00000   0.00000   -344.81039430   -344.81038736  -0.6942040E-05
    2.80000   2.80000   3.10000 100.00000 150.00000   0.00000   -344.82976230   -344.82980173   0.3943439E-04
    2.80000   2.80000   3.10000 125.00000  75.00000   0.00000   -344.79802670   -344.79799121  -0.3549072E-04
    3.00000   2.80000   3.10000 125.00000 125.00000 -10.00000   -344.83750640   -344.83751265   0.6253669E-05
    2.60000   2.60000   3.10000 125.00000 125.00000 -10.00000   -344.83290240   -344.83289341  -0.8988451E-05
    2.80000   3.00000   3.10000 125.00000 125.00000 -10.00000   -344.83750640   -344.83751265   0.6248250E-05
    2.60000   2.80000   2.90000 125.00000 125.00000 -10.00000   -344.82692440   -344.82691482  -0.9577606E-05
    2.80000   2.60000   2.90000 125.00000 125.00000 -10.00000   -344.82692440   -344.82691484  -0.9558933E-05
    2.80000   2.80000   3.30000 125.00000 125.00000 -10.00000   -344.83536780   -344.83537953   0.1172983E-04
    2.60000   2.80000   3.10000 100.00000 125.00000 -10.00000   -344.82792140   -344.82792109  -0.3102829E-06
    2.80000   2.60000   3.10000 100.00000 125.00000 -10.00000   -344.82827760   -344.82827497  -0.2630981E-05
    2.80000   2.80000   2.90000 100.00000 125.00000 -10.00000   -344.82137180   -344.82137817   0.6368473E-05
    2.80000   2.80000   3.10000 150.00000 125.00000 -10.00000   -344.81911670   -344.81912050   0.3801775E-05
    2.60000   2.80000   3.10000 125.00000 100.00000 -10.00000   -344.82827760   -344.82827497  -0.2631744E-05
    2.80000   2.60000   3.10000 125.00000 100.00000 -10.00000   -344.82792140   -344.82792110  -0.3003109E-06
    2.80000   2.80000   2.90000 125.00000 100.00000 -10.00000   -344.82137180   -344.82137818   0.6376825E-05
    2.80000   2.80000   3.10000 100.00000 100.00000 -10.00000   -344.81100850   -344.81100036  -0.8138003E-05
    2.80000   2.80000   3.10000 125.00000 150.00000 -10.00000   -344.81911670   -344.81912050   0.3800109E-05
    2.60000   2.80000   3.10000 125.00000 125.00000  10.00000   -344.83698850   -344.83698185  -0.6651346E-05
    2.80000   2.60000   3.10000 125.00000 125.00000  10.00000   -344.83698850   -344.83698185  -0.6651192E-05
    2.80000   2.80000   2.90000 125.00000 125.00000  10.00000   -344.83109380   -344.83107966  -0.1413984E-04
    2.80000   2.80000   3.10000 100.00000 125.00000  10.00000   -344.83202830   -344.83202232  -0.5983221E-05
    2.80000   2.80000   3.10000 125.00000 100.00000  10.00000   -344.83202830   -344.83202231  -0.5992686E-05
    2.80000   2.80000   3.10000 125.00000 125.00000 -20.00000   -344.83957950   -344.83957776  -0.1739318E-05
    3.20000   2.80000   3.10000 125.00000 125.00000   0.00000   -344.82984060   -344.82983493  -0.5665440E-05
    2.40000   2.60000   3.10000 125.00000 125.00000   0.00000   -344.81736660   -344.81736900   0.2404401E-05
    3.00000   3.00000   3.10000 125.00000 125.00000   0.00000   -344.83439080   -344.83439079  -0.1277999E-07
    2.60000   2.40000   3.10000 125.00000 125.00000   0.00000   -344.81736660   -344.81736900   0.2404364E-05
    2.80000   3.20000   3.10000 125.00000 125.00000   0.00000   -344.82984060   -344.82983494  -0.5662357E-05
    2.40000   2.80000   2.90000 125.00000 125.00000   0.00000   -344.81135270   -344.81135578   0.3080917E-05
    3.00000   2.60000   2.90000 125.00000 125.00000   0.00000   -344.82415680   -344.82415744   0.6435655E-06
    2.60000   3.00000   2.90000 125.00000 125.00000   0.00000   -344.82415680   -344.82415744   0.6445237E-06
    2.80000   2.40000   2.90000 125.00000 125.00000   0.00000   -344.81135270   -344.81135578   0.3075288E-05
    3.00000   2.80000   3.30000 125.00000 125.00000   0.00000   -344.83214710   -344.83214786   0.7567671E-06
    2.60000   2.60000   3.30000 125.00000 125.00000   0.00000   -344.82792390   -344.82792569   0.1785055E-05
    2.80000   3.00000   3.30000 125.00000 125.00000   0.00000   -344.83214710   -344.83214786   0.7573132E-06
    2.60000   2.80000   2.70000 125.00000 125.00000   0.00000   -344.79026080   -344.79026518   0.4377587E-05
    2.80000   2.60000   2.70000 125.00000 125.00000   0.00000   -344.79026080   -344.79026517   0.4371996E-05
    2.80000   2.80000   3.50000 125.00000 125.00000   0.00000   -344.82168070   -344.82166799  -0.1270893E-04
    2.40000   2.80000   3.10000 100.00000 125.00000   0.00000   -344.81202260   -344.81202351   0.9089949E-06
    3.00000   2.60000   3.10000 100.00000 125.00000   0.00000   -344.82499710   -344.82499775   0.6545068E-06
    2.60000   3.00000   3.10000 100.00000 125.00000   0.00000   -344.82425780   -344.82425862   0.8179318E-06
    2.80000   2.40000   3.10000 100.00000 125.00000   0.00000   -344.81270640   -344.81270836   0.1960198E-05
    3.00000   2.80000   2.90000 100.00000 125.00000   0.00000   -344.81844400   -344.81844387  -0.1322102E-06
    2.60000   2.60000   2.90000 100.00000 125.00000   0.00000   -344.81327430   -344.81327379  -0.5084135E-06
    2.80000   3.00000   2.90000 100.00000 125.00000   0.00000   -344.81800210   -344.81800219   0.9232105E-07
    2.60000   2.80000   3.30000 100.00000 125.00000   0.00000   -344.82333460   -344.82333424  -0.3642186E-06
    2.80000   2.60000   3.30000 100.00000 125.00000   0.00000   -344.82362860   -344.82362830  -0.2984898E-06
    2.80000   2.80000   2.70000 100.00000 125.00000   0.00000   -344.78410820   -344.78410609  -0.2110546E-05
    3.00000   2.80000   3.10000 150.00000 125.00000   0.00000   -344.81745530   -344.81745441  -0.8861322E-06
    2.60000   2.60000   3.10000 150.00000 125.00000   0.00000   -344.80929160   -344.80929304   0.1443745E-05
    2.80000   3.00000   3.10000 150.00000 125.00000   0.00000   -344.81742170   -344.81741943  -0.2268151E-05
    2.60000   2.80000   2.90000 150.00000 125.00000   0.00000   -344.80518920   -344.80518894  -0.2584765E-06
    2.80000   2.60000   2.90000 150.00000 125.00000   0.00000   -344.80512310   -344.80512312   0.1646686E-07
    2.80000   2.80000   3.30000 150.00000 125.00000   0.00000   -344.81382430   -344.81382809   0.3793195E-05
    2.60000   2.80000   3.10000  75.00000 125.00000   0.00000   -344.79234690   -344.79234785   0.9466521E-06
    2.80000   2.60000   3.10000  75.00000 125.00000   0.00000   -344.79379470   -344.79379720   0.2501246E-05
    2.80000   2.80000   2.90000  75.00000 125.00000   0.00000   -344.78738950   -344.78738564  -0.3864689E-05
    2.40000   2.80000   3.10000 125.00000 100.00000   0.00000   -344.81270640   -344.81270836   0.1960537E-05
    3.00000   2.60000   3.10000 125.00000 100.00000   0.00000   -344.82425780   -344.82425862   0.8181626E-06
    2.60000   3.00000   3.10000 125.00000 100.00000   0.00000   -344.82499710   -344.82499775   0.6549060E-06
